From	To	Species	Gene Name
SHOX2	11731223_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	210134_PM_x_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	208443_x_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	11731224_x_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	ADXECADA.8253_s_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	ADXECADA.20658_s_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	g2979679_3p_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	208443_PM_x_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	210134_x_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	11731222_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	ADXECADA.8253_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	RC_AA235989_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	11747149_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	Hs.55967.2.S1_3p_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	36487_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	210135_PM_s_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	210135_s_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	g6031199_3p_a_at	Homo sapiens	short stature homeobox 2(SHOX2)
SHOX2	RC_AA425293_at	Homo sapiens	short stature homeobox 2(SHOX2)
ADAM12	215613_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	204943_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	215613_PM_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	RC_T54117_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	204943_PM_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	Hs.8850.2.A1_3p_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	ADXECADA.13221_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	g13259517_3p_a_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	RC_R73567_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	202952_PM_s_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	g11496999_3p_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	MmugDNA.38716.1.S1_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	38770_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	ADXECADA.19748_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	226777_PM_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	RC_AA190993_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	38769_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	202952_s_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	Hs.296700.0.S1_3p_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	ADXECADA.22926_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	11716605_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	ADXECADA.16091_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
ADAM12	RC_AA411621_at	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
